# PLATE_NAME plate01
# PLOT_MAX 0.4773
# PLOT_MIN 0.0682
0.2955	0.2955	0.2093	0.2093	0.2727	0.2727	0.1395	0.1395
0.1364	0.1364	0.2500	0.2195	0.2143	0.1463	0.3409	0.2045
0.1395	0.2857	0.1591	0.2927	0.2143	0.1463	0.2791	0.2857
0.2143	0.2619	0.2250	0.1860	0.1628	0.2326	0.2326	0.1364
0.2326	0.2273	0.3721	0.2558	0.3333	0.1667	0.2558	0.2500
0.3095	0.1905	0.2444	0.2273	0.1905	0.0976	0.2955	0.2222
0.2791	0.2500	0.2619	0.1818	0.3409	0.3182	0.2273	0.2143
0.2683	0.2439	0.3171	0.3182	0.1707	0.0952	0.2619	0.2558
0.3571	0.2093	0.2273	0.2381	0.1395	0.3095	0.3333	0.2750
0.3000	0.4048	0.3409	0.2727	0.2439	0.3571	0.3902	0.2791
0.3488	0.2727	0.2093	0.2093	0.1395	0.2727	0.3023	0.2273
0.1905	0.1429	0.2667	0.3095	0.2667	0.2857	0.3000	0.2273
