# PLATE_NAME plate05
# PLOT_MAX 0.4773
# PLOT_MIN 0.0682
0.3500	0.2955	0.1860	0.1905	0.2727	0.3023	0.3636	0.2955
0.1951	0.2791	0.2500	0.2143	0.3778	0.3023	0.1628	0.2667
0.2727	0.2927	0.3023	0.2683	0.2326	0.2791	0.2143	0.1667
0.1951	0.2791	0.3953	0.3721	0.1951	0.2889	0.2619	0.2195
0.1750	0.1667	0.3778	0.2727	0.1667	0.2667	0.2143	0.2143
0.1860	0.3077	0.2444	0.3333	0.2500	0.4000	0.3111	0.2326
0.1905	0.3333	0.2619	0.2927	0.3111	0.2558	0.1860	0.3409
0.1905	0.2667	0.1778	0.2444	0.1463	0.1667	0.3111	0.2500
0.2045	0.2444	0.1395	0.1220	0.2955	0.2326	0.2045	0.3095
0.2791	0.3256	0.2444	0.1860	0.2667	0.2500	0.3409	0.3256
0.2955	0.2326	0.2889	0.3182	0.2558	0.2727	0.3023	0.2308
0.2955	0.1429	0.3171	0.2889	0.3590	0.1190	0.3333	0.2273
